,work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
4009,2024,SE,FT,Data Scientist,151000,US,In person,US,M
4010,2024,MI,FT,Business Intelligence Engineer,185000,US,In person,US,L
4011,2024,MI,FT,Business Intelligence Engineer,79600,US,In person,US,L
4012,2024,SE,FT,Data Pipeline Engineer,175000,US,In person,US,M
4013,2024,SE,FT,Data Pipeline Engineer,170000,US,In person,US,M
4015,2024,SE,FT,Machine Learning Engineer,207900,US,In person,US,M
4016,2024,MI,FT,Research Scientist,195500,US,Fully remote,US,M
4017,2024,MI,FT,Research Scientist,141300,US,Fully remote,US,M
4018,2024,MI,FT,Analytics Engineer,192500,US,Fully remote,US,M
4019,2024,MI,FT,Analytics Engineer,148000,US,Fully remote,US,M
4020,2024,SE,FT,Data Scientist,234000,US,In person,US,M
4021,2024,SE,FT,Data Scientist,146000,US,In person,US,M
4022,2024,SE,FT,Machine Learning Engineer,255800,US,In person,US,M
4023,2024,SE,FT,Machine Learning Engineer,255800,US,In person,US,M
4024,2024,EN,FT,Data Analyst,93750,GB,In person,GB,M
4025,2024,EN,FT,Data Analyst,68750,GB,In person,GB,M
4026,2024,MI,FT,Data Analyst,81650,US,In person,US,M
4027,2024,MI,FT,Data Analyst,51175,US,In person,US,M
4028,2024,MI,FT,Data Scientist,136000,US,In person,US,M
4029,2024,MI,FT,Data Scientist,106700,US,In person,US,M
4030,2024,MI,FT,Data Engineer,167500,US,In person,US,M
4031,2024,MI,FT,Data Engineer,106500,US,In person,US,M
4032,2024,SE,FT,Data Engineer,240500,US,In person,US,L
4033,2024,SE,FT,Data Engineer,123700,US,In person,US,L
4034,2024,SE,FT,Data Engineer,250000,US,Fully remote,US,M
4035,2024,SE,FT,Data Engineer,200000,US,Fully remote,US,M
4036,2024,MI,FT,Data Engineer,109000,US,In person,US,M
4037,2024,MI,FT,Data Engineer,93500,US,In person,US,M
4038,2024,MI,FT,Data Scientist,75000,US,In person,US,M
4039,2024,MI,FT,Data Scientist,70000,US,In person,US,M
4040,2024,SE,FT,Data Scientist,206000,US,In person,US,M
4041,2024,SE,FT,Data Scientist,106605,US,In person,US,M
